StateID,ActID,RewardID,NextStateID,Done,CostID,StateIdMod,ActIdMod,RewardIdMod,NextStateIdMod,CostIdMod
"[53, 51]",[146],[75],"[56, 50]",[False],[0],"[0.009953670000000041, 0.008965019999999988]",[0.0045440400000000165],[0.005043983459472752],"[0.00010200000000008813, 0.009851350000000026]",[0.0]
"[56, 50]",[137],[76],"[57, 50]",[False],[0],"[0.00010200000000008813, 0.009851350000000026]",[0.003545739999999931],[0.008721294403076223],"[0.00891347000000003, 0.00301267000000004]",[0.0]
"[57, 50]",[145],[78],"[59, 49]",[False],[0],"[0.00891347000000003, 0.00301267000000004]",[0.006489859999999995],[0.006545753479004001],"[0.0065201500000000145, 0.004100470000000004]",[0.0]
"[59, 49]",[150],[80],"[61, 48]",[False],[0],"[0.0065201500000000145, 0.004100470000000004]",[0.006541190000000054],[0.006872844696045016],"[0.002634200000000005, 0.003936919999999983]",[0.0]
"[61, 48]",[151],[82],"[62, 47]",[False],[0],"[0.002634200000000005, 0.003936919999999983]",[0.00673150000000009],[0.007709388732910206],"[0.007108479999999955, 0.0035187399999999838]",[0.0]
"[62, 47]",[155],[85],"[63, 46]",[False],[0],"[0.007108479999999955, 0.0035187399999999838]",[0.0060608400000001905],[0.0005124092102050826],"[0.00986333999999999, 0.0021170899999999986]",[0.0]
"[63, 46]",[161],[87],"[65, 44]",[False],[0],"[0.00986333999999999, 0.0021170899999999986]",[0.002715290000000101],[0.006148223876953218],"[0.0007185300000000037, 0.009299229999999985]",[0.0]
"[65, 44]",[153],[89],"[65, 43]",[False],[0],"[0.0007185300000000037, 0.009299229999999985]",[0.007911779999999919],[0.008043823242187548],"[0.009622510000000037, 0.00835152999999998]",[0.0]
"[65, 43]",[131],[90],"[66, 43]",[False],[0],"[0.009622510000000037, 0.00835152999999998]",[0.0034502300000001356],[0.008716297149658162],"[0.00707411000000004, 0.0030152400000000145]",[0.0]
"[66, 43]",[142],[92],"[67, 42]",[False],[0],"[0.00707411000000004, 0.0030152400000000145]",[0.0013188300000001145],[0.004782276153564545],"[0.0035281600000000284, 0.004982200000000023]",[0.0]
"[67, 42]",[115],[92],"[67, 42]",[False],[0],"[0.0035281600000000284, 0.004982200000000023]",[0.005641450000000046],[0.007564334869384813],"[0.009051130000000044, 0.0035911500000000186]",[0.0]
"[67, 42]",[132],[93],"[68, 41]",[False],[0],"[0.009051130000000044, 0.0035911500000000186]",[0.006637210000000095],[0.008896179199218842],"[0.004123540000000071, 0.007925250000000017]",[0.0]
