State_Center,Act_Center,Reward_Center,NextState_Center,Done,Cost_Center,Weight,Probability
"[-0.28500000000000003, 0.054999999999999986]",[0.735],[1.085],"[-0.28500000000000003, 0.03499999999999997]",False,[50.0],1,0.045454545454545456
"[-0.28500000000000003, 0.03499999999999997]",[0.705],[1.125],"[-0.275, 0.01500000000000001]",False,[50.0],1,0.0625
"[-0.29500000000000004, -0.055]",[0.515],[1.275],"[-0.29500000000000004, -0.065]",False,[50.0],1,0.09090909090909091
"[-0.29500000000000004, -0.065]",[0.485],[1.305],"[-0.31500000000000006, -0.07500000000000001]",False,[50.0],1,0.1111111111111111
"[-0.32499999999999996, -0.08500000000000002]",[0.495],[1.355],"[-0.33499999999999996, -0.10499999999999998]",False,[50.0],1,0.1
"[-0.41500000000000004, -0.11499999999999999]",[-0.18500000000000005],[1.375],"[-0.425, -0.11499999999999999]",False,[50.0],1,0.1111111111111111
"[-0.505, -0.025000000000000026]",[-0.685],[1.175],"[-0.505, -0.015000000000000017]",False,[50.0],1,0.16666666666666666
"[-0.405, -0.09500000000000003]",[-0.30500000000000005],[1.235],"[-0.425, -0.08500000000000002]",False,[50.0],2,0.10526315789473684
"[-0.41500000000000004, 0.10499999999999998]",[-0.3450000000000001],[0.845],"[-0.405, 0.10499999999999998]",False,[50.0],1,0.0625
"[-0.365, 0.11499999999999999]",[0.34499999999999986],[0.905],"[-0.345, 0.10499999999999998]",False,[50.0],4,0.2
"[-0.345, 0.10499999999999998]",[0.28500000000000003],[0.955],"[-0.33499999999999996, 0.09499999999999997]",False,[50.0],4,0.18181818181818182
"[-0.28500000000000003, 0.005]",[0.6749999999999999],[1.085],"[-0.275, -0.015000000000000017]",False,[50.0],1,0.005154639175257732
"[-0.275, -0.015000000000000017]",[0.6049999999999999],[1.115],"[-0.28500000000000003, -0.025000000000000026]",False,[50.0],1,0.08333333333333333
"[-0.28500000000000003, -0.025000000000000026]",[0.6149999999999999],[1.145],"[-0.28500000000000003, -0.04499999999999999]",False,[50.0],1,0.07692307692307693
"[-0.425, 0.04499999999999998]",[-0.745],[0.955],"[-0.425, 0.065]",False,[50.0],2,0.08695652173913043
"[-0.385, 0.09499999999999997]",[-0.44500000000000006],[0.935],"[-0.365, 0.10499999999999998]",False,[50.0],4,0.16666666666666666
"[-0.365, 0.10499999999999998]",[0.33499999999999985],[0.905],"[-0.355, 0.09499999999999997]",False,[50.0],3,0.13636363636363635
"[-0.32499999999999996, 0.07500000000000001]",[0.525],[0.985],"[-0.31500000000000006, 0.054999999999999986]",False,[50.0],2,0.1
"[-0.29500000000000004, -0.015000000000000017]",[0.495],[1.125],"[-0.29500000000000004, -0.03499999999999998]",False,[50.0],1,0.058823529411764705
"[-0.395, -0.07500000000000001]",[-0.2250000000000001],[1.215],"[-0.41500000000000004, -0.07500000000000001]",False,[50.0],1,0.03571428571428571
"[-0.435, -0.03499999999999998]",[-0.9750000000000001],[1.125],"[-0.445, -0.015000000000000017]",False,[50.0],4,0.08888888888888889
"[-0.365, 0.09499999999999997]",[0.31499999999999984],[0.975],"[-0.355, 0.08500000000000002]",False,[50.0],2,0.11764705882352941
"[-0.345, 0.07500000000000001]",[0.555],[0.965],"[-0.32499999999999996, 0.054999999999999986]",False,[50.0],1,0.037037037037037035
"[-0.41500000000000004, 0.054999999999999986]",[-0.5050000000000001],[0.955],"[-0.41500000000000004, 0.065]",False,[50.0],1,0.038461538461538464
"[-0.385, 0.09499999999999997]",[0.495],[0.935],"[-0.375, 0.08500000000000002]",False,[50.0],1,0.041666666666666664
"[-0.375, 0.08500000000000002]",[0.35499999999999987],[0.955],"[-0.355, 0.07500000000000001]",False,[50.0],1,0.043478260869565216
