State,Act,Reward,NextState,Done,Cost,Weight,Probability
"[-0.20155382, -0.04700965]",[-0.49766449],[1.2393532752990724],"[-0.20841187, -0.03456813]",False,[0.0],1,0.07142857142857142
"[-0.20841187, -0.03456813]",[-0.50126598],[1.2142900466918947],"[-0.21327436, -0.02203643]",False,[0.0],1,0.25
"[-0.21327436, -0.02203643]",[-0.29089108],[1.1997454643249512],"[-0.21641237000000002, -0.014764189999999998]",False,[0.0],1,0.2
"[-0.21641237000000002, -0.014764189999999998]",[-0.42217853],[1.1786365509033203],"[-0.21821177000000003, -0.004209699999999997]",False,[0.0],1,0.25
"[-0.2107620350749277, -0.0007997953451628972]",[-0.08465808109979095],[1.1917139123794374],"[-0.21077710684582363, 0.0013166941548424047]",False,[0.0],27,0.34615384615384615
"[-0.21773868500000004, 0.007984280000000005]",[-0.186016505],[1.0891156673431397],"[-0.21621317, 0.012634754999999994]",False,[0.0],2,0.0111731843575419
"[-0.21680558, 0.014496919999999993]",[-0.32783729],[1.1248315811157228],"[-0.21404898, 0.022692800000000006]",False,[0.0],1,0.043478260869565216
"[-0.21404898, 0.022692800000000006]",[-0.32730868],[1.1084660530090333],"[-0.20998168, 0.030875440000000004]",False,[0.0],1,0.023809523809523808
"[-0.20998168, 0.030875440000000004]",[-0.12451952],[1.1022400856018066],"[-0.20487559, 0.03398848]",False,[0.0],1,0.25
"[-0.20487559, 0.03398848]",[-0.20663926],[1.0919081687927243],"[-0.19916189, 0.03915453000000001]",False,[0.0],1,0.25
"[-0.19916189, 0.03915453000000001]",[-0.0037111799999999633],[1.0917225837707518],"[-0.19289225, 0.03924727]",False,[0.0],1,0.16666666666666666
"[-0.19289225, 0.03924727]",[0.11077834000000004],[1.0972615242004393],"[-0.18676043000000003, 0.03647779999999999]",False,[0.0],1,0.16666666666666666
"[-0.18676043000000003, 0.03647779999999999]",[-0.0077984699999999844],[1.0968715667724607],"[-0.18091357000000002, 0.036672830000000003]",False,[0.0],1,0.25
"[-0.46189307999999996, -0.021995352500000002]",[-0.9251420100000001],[1.0831656455993652],"[-0.4641788, 0.0011332000000000026]",False,[0.0],3,0.031914893617021274
"[-0.45172217000000003, 0.025821090000000012]",[-1.0487379799999998],[0.9852717876434327],"[-0.44625751, 0.050821124999999995]",False,[0.0],2,0.024096385542168676
